Incident ID,Created Date,Resolved Date,Priority,Status,Category,Subcategory,Assignee,Assignment Group,Source,Affected System,Description,Resolution Notes
INC000001,2024-10-24 02:49:54.772006,2024-10-25 06:09:59.994808,P4,Closed,User Access,Permission,Robert Johnson,Help Desk,Monitoring System,VPN Service,Permission failure in User Access system,Known issue with workaround applied
INC000002,2024-10-24 16:27:54.772006,2024-10-26 00:47:11.620904,P3,Closed,Server,Linux,Jane Doe,Server Team,Email,File Server,User experiencing Linux issues with Server,Restarted Server service to resolve Linux issue
INC000003,2024-10-25 06:21:54.772006,2024-10-25 12:53:45.826184,P3,Resolved,Hardware,Desktop,John Smith,Help Desk,Chat,Database Server,Hardware Desktop not functioning as expected,User error resolved with additional training
INC000004,2024-10-25 13:10:54.772006,2024-10-26 00:34:01.152762,P2,Closed,Database,Performance,David Miller,Database Team,Phone,Database Server,Database Performance not functioning as expected,Fixed Performance configuration in Database
INC000005,2024-10-26 16:25:54.772006,2024-10-27 10:46:27.926788,P3,Resolved,Hardware,Peripheral,Robert Johnson,Help Desk,Email,Email Server,User experiencing Peripheral issues with Hardware,Known issue with workaround applied
INC000006,2024-10-26 20:00:54.772006,2024-10-27 12:29:10.496266,P3,Resolved,User Access,Permission,Lisa Wong,Help Desk,Email,Active Directory,User Access Permission not functioning as expected,Applied patch to fix Permission vulnerability
INC000007,2024-10-27 13:21:54.772006,,P3,Pending,Application,Integration,Jane Doe,Application Support,Phone,CRM System,Integration failure in Application system,
INC000008,2024-10-27 22:53:54.772006,2024-10-28 10:44:47.897120,P3,Closed,Application,Configuration,Unassigned,Application Support,Chat,ERP System,Application issue: Configuration problem reported by user,Known issue with workaround applied
INC000009,2024-10-31 06:23:54.772006,2024-10-31 14:52:40.092067,P4,Closed,Hardware,Desktop,John Smith,Help Desk,Phone,File Server,Hardware issue: Desktop problem reported by user,Fixed Desktop configuration in Hardware
INC000010,2024-11-01 07:26:54.772006,2024-11-01 09:58:36.469739,P1,Closed,Network,Connectivity,Jane Doe,Network Team,Email,VPN Service,User experiencing Connectivity issues with Network,Applied patch to fix Connectivity vulnerability
INC000011,2024-11-02 12:22:54.772006,2024-11-02 13:42:04.074089,P3,Resolved,Network,VPN,Maria Garcia,Network Team,Phone,VPN Service,Network issue: VPN problem reported by user,User error resolved with additional training
INC000012,2024-11-05 01:36:54.772006,2024-11-08 06:00:31.352730,P1,Closed,Database,Backup,Robert Johnson,Database Team,Web Portal,Database Server,User experiencing Backup issues with Database,Restarted Database service to resolve Backup issue
INC000013,2024-11-05 20:29:54.772006,2024-11-07 17:34:35.863852,P2,Closed,User Access,Permission,Jane Doe,Help Desk,Web Portal,Network Infrastructure,User experiencing Permission issues with User Access,Applied patch to fix Permission vulnerability
INC000014,2024-11-06 01:12:54.772006,2024-11-06 11:44:08.901604,P2,Closed,Application,Configuration,John Smith,Application Support,Phone,CRM System,Application Configuration not functioning as expected,Fixed Configuration configuration in Application
INC000015,2024-11-06 08:04:54.772006,2024-11-09 11:29:17.979591,P3,Closed,Hardware,Mobile,Jane Doe,Help Desk,Email,Email Server,Hardware issue: Mobile problem reported by user,Fixed Mobile configuration in Hardware
INC000016,2024-11-07 09:37:54.772006,2024-11-08 12:44:14.140510,P2,Closed,Security,Malware,John Smith,Security Team,Web Portal,Active Directory,Malware failure in Security system,User error resolved with additional training
INC000017,2024-11-07 21:49:54.772006,2024-11-08 13:38:33.902888,P3,Closed,Server,Windows,Robert Johnson,Server Team,Chat,Email Server,Server issue: Windows problem reported by user,User error resolved with additional training
INC000018,2024-11-10 10:29:54.772006,2024-11-11 02:48:05.849959,P2,Resolved,Network,Connectivity,Lisa Wong,Network Team,Web Portal,VPN Service,Network issue: Connectivity problem reported by user,Known issue with workaround applied
INC000019,2024-11-11 10:33:54.772006,,P3,Pending,Hardware,Desktop,David Miller,Help Desk,Phone,Web Application,Desktop failure in Hardware system,
INC000020,2024-11-11 13:31:54.772006,2024-11-11 15:37:07.943967,P4,Resolved,Database,Corruption,Maria Garcia,Database Team,Web Portal,Database Server,Corruption failure in Database system,User error resolved with additional training
INC000021,2024-11-11 17:19:54.772006,,P3,Pending,Hardware,Desktop,Jane Doe,Help Desk,Chat,Email Server,User experiencing Desktop issues with Hardware,
INC000022,2024-11-12 23:51:54.772006,2024-11-13 02:10:25.166758,P3,Closed,Database,Query,John Smith,Database Team,Monitoring System,Database Server,User experiencing Query issues with Database,Restarted Database service to resolve Query issue
INC000023,2024-11-14 15:13:54.772006,2024-11-15 13:22:11.146501,P2,Closed,Network,Router,David Miller,Network Team,Web Portal,VPN Service,Router failure in Network system,Fixed Router configuration in Network
INC000024,2024-11-14 23:02:54.772006,2024-11-15 18:24:39.764512,P3,Closed,User Access,Termination,Jane Doe,Help Desk,Phone,Database Server,User Access issue: Termination problem reported by user,Applied patch to fix Termination vulnerability
INC000025,2024-11-17 11:42:54.772006,,P1,In Progress,Database,Performance,Unassigned,Database Team,Chat,Database Server,Database issue: Performance problem reported by user,
INC000026,2024-11-18 12:03:54.772006,2024-11-18 17:48:20.039840,P3,Closed,Network,Connectivity,Robert Johnson,Network Team,Email,VPN Service,Network issue: Connectivity problem reported by user,Applied patch to fix Connectivity vulnerability
INC000027,2024-11-18 22:05:54.772006,2024-11-21 20:14:08.437143,P4,Closed,Security,Malware,Robert Johnson,Security Team,Phone,VPN Service,Security Malware not functioning as expected,User error resolved with additional training
INC000028,2024-11-20 10:49:54.772006,2024-11-21 23:18:45.907665,P3,Closed,Database,Backup,David Miller,Database Team,Web Portal,Database Server,Backup failure in Database system,Fixed Backup configuration in Database
INC000029,2024-11-23 00:43:54.772006,,P4,In Progress,Network,Switch,David Miller,Network Team,Web Portal,Network Infrastructure,User experiencing Switch issues with Network,
INC000030,2024-11-23 08:43:54.772006,2024-11-23 11:37:20.288979,P3,Closed,Application,Performance,Jane Doe,Application Support,Web Portal,Web Application,User experiencing Performance issues with Application,User error resolved with additional training
INC000031,2024-11-24 02:16:54.772006,,P2,Pending,Security,Malware,Unassigned,Security Team,Email,VPN Service,Security issue: Malware problem reported by user,
INC000032,2024-11-25 08:09:54.772006,2024-11-28 00:18:29.299677,P4,Closed,Network,Connectivity,Robert Johnson,Network Team,Web Portal,Network Infrastructure,Connectivity failure in Network system,Restarted Network service to resolve Connectivity issue
INC000033,2024-11-25 10:56:54.772006,2024-11-29 02:46:14.065561,P2,Closed,Hardware,Printer,David Miller,Help Desk,Monitoring System,CRM System,Printer failure in Hardware system,Applied patch to fix Printer vulnerability
INC000034,2024-11-25 23:38:54.772006,,P2,Open,Hardware,Printer,John Smith,Help Desk,Web Portal,Database Server,Hardware Printer not functioning as expected,
INC000035,2024-11-26 08:38:54.772006,2024-12-01 20:45:16.443423,P4,Closed,User Access,New Account,Robert Johnson,Help Desk,Chat,CRM System,User experiencing New Account issues with User Access,User error resolved with additional training
INC000036,2024-11-26 22:53:54.772006,2024-11-27 00:16:42.135537,P3,Resolved,User Access,Permission,David Miller,Help Desk,Chat,Active Directory,User Access Permission not functioning as expected,Known issue with workaround applied
